Sl. No,Food Item,Recipe,Approximate Calorie per Serving
29,Alu Khichuri (Hill Tracts),"To prepare Alu Khichuri in the Hill Tracts style, a hearty and mildly spiced potato and rice dish with an earthy flavor, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set them aside.

In a heavy-bottomed pot, heat 3 tablespoons of sesame or mustard oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
30,Alu Khichuri (Mymensingh),"To prepare Alu Khichuri in the Mymensingh style, a comforting and mildly spiced potato and rice dish, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set them aside.

In a heavy-bottomed pot, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
31,Alu Khichuri (Rajshahi),"To prepare Alu Khichuri in the Rajshahi style, a comforting and mildly spiced potato and rice dish, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set them aside.

In a heavy-bottomed pot, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
32,Alu Khichuri (Rangpur),"To prepare Alu Khichuri in the Rangpur style, a comforting and mildly spiced potato and rice dish, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set aside.

In a heavy-bottomed pot, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
33,Alu Khichuri (Sylhet),"To prepare an authentic Sylhet-style Alu Khichuri, a flavorful and comforting rice and lentil dish with potatoes, begin by washing 1 cup of aromatic rice (like Chinigura) and ½ cup of moong dal (yellow split lentils) and set them aside. In a large pot, heat 3 tablespoons of ghee or oil and add 1 large sliced onion, frying until it becomes golden. Now, add 1 tablespoon of ginger paste, 1 tablespoon of garlic paste, 1 teaspoon of turmeric powder, 1 teaspoon of cumin powder, and a few slit green chilies. Sauté the spices for a minute before adding 2 medium-sized potatoes, cut into small cubes. Cook the potatoes until they are partially tender. Add the washed rice and moong dal to the pot and stir-fry for 2-3 minutes to lightly toast them. Pour in 3.5 cups of hot water and add salt to taste, bringing the mixture to a boil. Reduce the heat to a low simmer, cover the pot tightly, and let it cook for 20-25 minutes, or until all the water is absorbed and the rice and potatoes are tender. The final dish should have a rich aroma and a slightly dry, bhuna-like consistency, which is a hallmark of Sylheti cuisine. Serve hot with pickle or achar.",370
34,Alu Khichuri (Tribal),"To prepare Alu Khichuri in the Tribal style, a hearty, mildly spiced potato and rice dish with earthy flavors, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set them aside.

In a heavy-bottomed pot, heat 3 tablespoons of sesame or mustard oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
35,Alu Korma (Barisal),"To prepare Barisal-style Alu Korma, peel and cut 500 grams of potatoes into medium cubes, then wash and set aside. Heat 4 tablespoons of mustard oil or ghee in a heavy-bottomed pan, add 2 bay leaves, 2 cardamoms, and 1 cinnamon stick, and let them release aroma. Add 2 medium onions finely sliced and fry until golden brown, then stir in 1 tablespoon ginger paste, 1 teaspoon garlic paste, 1 teaspoon turmeric, 2 teaspoons chili powder, 1 teaspoon roasted cumin-coriander powder, and salt to taste, cooking until the spices release oil. Add the potato cubes, stir well to coat in the masala, and cook for 5–6 minutes. Stir in ½ cup beaten yogurt and 2 cups warm water, then cover and simmer for 20–25 minutes on low heat until the potatoes are soft and the gravy is rich. Finish with ½ teaspoon garam masala and a handful of fried onions, serving hot with plain rice or paratha.",300
36,Alu Korma (Chattogram),"To prepare Alu Korma in the Chattogram style, a rich and mildly spiced potato curry, start by boiling, peeling, and cubing 3 medium-sized potatoes. In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 large chopped onion and sauté until golden brown, then stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat slightly and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste, mixing with a splash of water to form a smooth masala. Add ½ cup of chopped tomatoes and 3 slit green chilies, cooking until the tomatoes soften and the oil separates. Add the boiled potato cubes and gently stir to coat them with the creamy masala. Pour in ½ cup of water or coconut milk for a semi-thick consistency and simmer for 5–7 minutes. Finish by sprinkling ½ teaspoon of Garam Masala and garnish with freshly chopped coriander leaves before serving hot.",250
37,Alu Korma (Rangpur),"To prepare Alu Korma in the Rangpur style, a rich and mildly spiced potato curry, start by boiling, peeling, and cubing 3 medium-sized potatoes. In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 large chopped onion and sauté until golden brown, then stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat slightly and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste, mixing with a splash of water to form a smooth masala. Add ½ cup of chopped tomatoes and 3 slit green chilies, cooking until the tomatoes soften and the oil separates. Add the boiled potato cubes and gently stir to coat them with the creamy masala. Pour in ½ cup of water or coconut milk for a semi-thick consistency and simmer for 5–7 minutes. Finish by sprinkling ½ teaspoon of Garam Masala and garnish with freshly chopped coriander leaves before serving hot.",250
38,Alu Paturi (Hill Tracts),"To prepare Alu Paturi in the Hill Tracts style, a traditional and earthy potato dish, start by boiling, peeling, and lightly mashing 3 medium-sized potatoes. In a bowl, mix the potatoes with 1 teaspoon of crushed garlic, 1 teaspoon of ginger paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, salt to taste, and a splash of sesame or mustard oil. Add 2–3 slit green chilies and a handful of chopped fresh coriander leaves, mixing well. Take a banana leaf or foil sheet, place a portion of the potato mixture in the center, fold it securely, and steam or grill for 10–12 minutes until the flavors meld and the potatoes are heated through. Serve hot directly from the leaf for an authentic hill-tract experience.",240
39,Alu Paturi (Khulna),"To prepare Alu Paturi in the Khulna style, begin by peeling and slicing 3 medium-sized potatoes into thin rounds, then marinate them with 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of mustard paste, 1 teaspoon of grated coconut, 1 teaspoon of mustard oil, salt to taste, and 2 chopped green chilies. Mix well and let the mixture rest for 10–15 minutes. Next, take fresh banana leaves, lightly wilt them over a low flame to make them pliable, and place a portion of the potato mixture in the center of each leaf. Fold the leaves securely into small parcels and tie them with thread or toothpicks. Heat a flat pan or tawa and brush it with a few drops of mustard oil; cook the parcels on low heat for about 10–12 minutes on each side, or until the potatoes are tender and infused with the smoky aroma of the banana leaves. Once done, carefully unwrap and serve the fragrant Alu Paturi hot with steamed rice.",210
